index,id,sg_uf,nm_meso_regiao,nm_micro_regiao,setor,nm_divisao,de_faixa_faturamento_estimado,vl_faturamento_estimado_aux,de_nivel_atividade,idade_emp_cat,de_saude_tributaria,de_saude_rescencia,fl_optante_simples,fl_optante_simei,fl_simples_irregular,fl_passivel_iss,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,fl_spa,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_antt,fl_veiculo,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,fl_matriz,qt_filiais,lat,lng
2346,453396,PI,CENTRO NORTE PIAUIENSE,TERESINA,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.093218676411015,-42.69862666885265
2347,100287,PI,CENTRO NORTE PIAUIENSE,TERESINA,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.093218676411015,-42.69862666885265
2348,372961,PI,CENTRO NORTE PIAUIENSE,TERESINA,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.093218676411015,-42.69862666885265
2349,124978,PI,CENTRO NORTE PIAUIENSE,TERESINA,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.093218676411015,-42.69862666885265
2350,32650,RO,MADEIRA-GUAPORE,PORTO VELHO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AZUL,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-8.76183,-63.902
2351,252983,RO,MADEIRA-GUAPORE,PORTO VELHO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AZUL,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-8.76183,-63.902
2352,418704,RO,MADEIRA-GUAPORE,PORTO VELHO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AZUL,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-8.76183,-63.902
2353,24261,RO,MADEIRA-GUAPORE,PORTO VELHO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AZUL,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-8.76183,-63.902
2354,330867,RO,MADEIRA-GUAPORE,PORTO VELHO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AZUL,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-8.76183,-63.902
2355,42606,AM,SUDOESTE AMAZONENSE,JURUA,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-6.3281781808995925,-69.33128181930526
2356,21013,AM,SUDOESTE AMAZONENSE,JURUA,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-6.3281781808995925,-69.33128181930526
2357,116293,AM,SUDOESTE AMAZONENSE,JURUA,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-6.3281781808995925,-69.33128181930526
2358,30476,AM,SUDOESTE AMAZONENSE,JURUA,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-6.3281781808995925,-69.33128181930526
2359,133466,AM,SUDOESTE AMAZONENSE,JURUA,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-6.3281781808995925,-69.33128181930526
2360,186332,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2361,324700,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2362,307908,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2363,435149,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2364,179080,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2365,70972,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",185457.6,MEDIA,1 a 5,VERDE,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2366,83923,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",185457.6,MEDIA,1 a 5,VERDE,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2367,450376,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,1 a 5,VERDE,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2368,140812,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,1 a 5,VERDE,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2369,438528,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,1 a 5,VERDE,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2370,18332,PI,NORTE PIAUIENSE,LITORAL PIAUIENSE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-3.2424696409018017,-41.648444123140564
